Scheme,Price,Date
Balanced Fund,0.9144,2008-07-25
Balanced Fund,0.9144,2008-07-26
Balanced Fund,0.9144,2008-07-27
Balanced Fund,0.912,2008-07-28
Balanced Fund,0.9075,2008-07-29
Balanced Fund,0.9157,2008-07-30
Balanced Fund,0.9244,2008-07-31
Balanced Fund,0.9204,2008-08-01
Balanced Fund,0.9204,2008-08-02
Balanced Fund,0.9204,2008-08-03
Balanced Fund,0.9193,2008-08-04
Balanced Fund,0.9113,2008-08-05
Balanced Fund,0.9277,2008-08-06
Balanced Fund,0.933,2008-08-07
Balanced Fund,0.927,2008-08-08
Balanced Fund,0.927,2008-08-09
Balanced Fund,0.927,2008-08-10
Balanced Fund,0.9379,2008-08-11
Balanced Fund,0.9354,2008-08-12
Balanced Fund,0.9354,2008-08-13
Balanced Fund,0.9324,2008-08-14
Balanced Fund,0.9337,2008-08-15
Balanced Fund,0.9337,2008-08-16
Balanced Fund,0.9337,2008-08-17
Balanced Fund,0.9316,2008-08-18
Balanced Fund,0.9251,2008-08-19
Balanced Fund,0.9211,2008-08-20
Balanced Fund,0.922,2008-08-21
Balanced Fund,0.9194,2008-08-22
Balanced Fund,0.9194,2008-08-23
Balanced Fund,0.9194,2008-08-24
Balanced Fund,0.9288,2008-08-25
Balanced Fund,0.9264,2008-08-26
Balanced Fund,0.9291,2008-08-27
Balanced Fund,0.9291,2008-08-28
Balanced Fund,0.9329,2008-08-29
Balanced Fund,0.9329,2008-08-30
Balanced Fund,0.9329,2008-08-31
Balanced Fund,0.9373,2008-09-01
Balanced Fund,0.938,2008-09-02
Balanced Fund,0.9404,2008-09-03
Balanced Fund,0.9336,2008-09-04
Balanced Fund,0.9254,2008-09-05
Balanced Fund,0.9254,2008-09-06
Balanced Fund,0.9254,2008-09-07
Balanced Fund,0.9423,2008-09-08
Balanced Fund,0.9294,2008-09-09
Balanced Fund,0.9296,2008-09-10
Balanced Fund,0.9324,2008-09-11
Balanced Fund,0.9398,2008-09-12
Balanced Fund,0.9398,2008-09-13
Balanced Fund,0.9398,2008-09-14
Balanced Fund,0.9223,2008-09-15
Balanced Fund,0.9132,2008-09-16
Balanced Fund,0.9085,2008-09-17
Balanced Fund,0.9073,2008-09-18
Balanced Fund,0.9251,2008-09-19
Balanced Fund,0.9251,2008-09-20
Balanced Fund,0.9251,2008-09-21
Balanced Fund,0.9358,2008-09-22
Balanced Fund,0.9181,2008-09-23
Balanced Fund,0.9169,2008-09-24
Balanced Fund,0.9152,2008-09-25
Balanced Fund,0.9161,2008-09-26
Balanced Fund,0.9161,2008-09-27
Balanced Fund,0.9161,2008-09-28
Balanced Fund,0.896,2008-09-29
Balanced Fund,0.8978,2008-09-30
Balanced Fund,0.903,2008-10-01
Balanced Fund,0.8911,2008-10-02
Balanced Fund,0.8902,2008-10-03
Balanced Fund,0.8902,2008-10-04
Balanced Fund,0.8902,2008-10-05
Balanced Fund,0.8697,2008-10-06
Balanced Fund,0.8584,2008-10-07
Balanced Fund,0.8509,2008-10-08
Balanced Fund,0.8276,2008-10-09
Balanced Fund,0.8145,2008-10-10
Balanced Fund,0.8145,2008-10-11
Balanced Fund,0.8145,2008-10-12
Balanced Fund,0.8353,2008-10-13
Balanced Fund,0.8404,2008-10-14
Balanced Fund,0.817,2008-10-15
Balanced Fund,0.8126,2008-10-16
Balanced Fund,0.8182,2008-10-17
Balanced Fund,0.8182,2008-10-18
Balanced Fund,0.8182,2008-10-19
Balanced Fund,0.8315,2008-10-20
Balanced Fund,0.833,2008-10-21
Balanced Fund,0.8121,2008-10-22
Balanced Fund,0.8016,2008-10-23
Balanced Fund,0.7931,2008-10-24
Balanced Fund,0.7931,2008-10-25
Balanced Fund,0.7931,2008-10-26
Balanced Fund,0.7931,2008-10-27
Balanced Fund,0.7975,2008-10-28
Balanced Fund,0.8014,2008-10-29
Balanced Fund,0.8137,2008-10-30
Balanced Fund,0.8251,2008-10-31
Balanced Fund,0.8251,2008-11-01
Balanced Fund,0.8251,2008-11-02
Balanced Fund,0.8329,2008-11-03
Balanced Fund,0.8377,2008-11-04
Balanced Fund,0.833,2008-11-05
Balanced Fund,0.8128,2008-11-06
Balanced Fund,0.8101,2008-11-07
Balanced Fund,0.8101,2008-11-08
Balanced Fund,0.8101,2008-11-09
Balanced Fund,0.8237,2008-11-10
Balanced Fund,0.8071,2008-11-11
Balanced Fund,0.7972,2008-11-12
Balanced Fund,0.8037,2008-11-13
Balanced Fund,0.8088,2008-11-14
Balanced Fund,0.8088,2008-11-15
Balanced Fund,0.8088,2008-11-16
Balanced Fund,0.7925,2008-11-17
Balanced Fund,0.7866,2008-11-18
Balanced Fund,0.77,2008-11-19
Balanced Fund,0.7515,2008-11-20
Balanced Fund,0.7607,2008-11-21
Balanced Fund,0.7607,2008-11-22
Balanced Fund,0.7607,2008-11-23
Balanced Fund,0.7792,2008-11-24
Balanced Fund,0.785,2008-11-25
Balanced Fund,0.7883,2008-11-26
Balanced Fund,0.7883,2008-11-27
Balanced Fund,0.8073,2008-11-28
