Scheme,Price,Date
Conservative Fund,1.0242,2008-08-29
Conservative Fund,1.0242,2008-08-30
Conservative Fund,1.0242,2008-08-31
Conservative Fund,1.0266,2008-09-01
Conservative Fund,1.0268,2008-09-02
Conservative Fund,1.0275,2008-09-03
Conservative Fund,1.026,2008-09-04
Conservative Fund,1.0235,2008-09-05
Conservative Fund,1.0235,2008-09-06
Conservative Fund,1.0235,2008-09-07
Conservative Fund,1.0282,2008-09-08
Conservative Fund,1.0243,2008-09-09
Conservative Fund,1.0247,2008-09-10
Conservative Fund,1.0263,2008-09-11
Conservative Fund,1.0288,2008-09-12
Conservative Fund,1.0288,2008-09-13
Conservative Fund,1.0288,2008-09-14
Conservative Fund,1.0253,2008-09-15
Conservative Fund,1.0224,2008-09-16
Conservative Fund,1.0199,2008-09-17
Conservative Fund,1.0177,2008-09-18
Conservative Fund,1.0215,2008-09-19
Conservative Fund,1.0215,2008-09-20
Conservative Fund,1.0215,2008-09-21
Conservative Fund,1.0252,2008-09-22
Conservative Fund,1.0204,2008-09-23
Conservative Fund,1.0203,2008-09-24
Conservative Fund,1.0211,2008-09-25
Conservative Fund,1.0209,2008-09-26
Conservative Fund,1.0209,2008-09-27
Conservative Fund,1.0209,2008-09-28
Conservative Fund,1.0165,2008-09-29
Conservative Fund,1.0147,2008-09-30
Conservative Fund,1.0166,2008-10-01
Conservative Fund,1.0133,2008-10-02
Conservative Fund,1.013,2008-10-03
Conservative Fund,1.013,2008-10-04
Conservative Fund,1.013,2008-10-05
Conservative Fund,1.0093,2008-10-06
Conservative Fund,1.0067,2008-10-07
Conservative Fund,1.0042,2008-10-08
Conservative Fund,0.9963,2008-10-09
Conservative Fund,0.9874,2008-10-10
Conservative Fund,0.9874,2008-10-11
Conservative Fund,0.9874,2008-10-12
Conservative Fund,0.9931,2008-10-13
Conservative Fund,0.9956,2008-10-14
Conservative Fund,0.9882,2008-10-15
Conservative Fund,0.9866,2008-10-16
Conservative Fund,0.9882,2008-10-17
Conservative Fund,0.9882,2008-10-18
Conservative Fund,0.9882,2008-10-19
Conservative Fund,0.9959,2008-10-20
Conservative Fund,0.9972,2008-10-21
Conservative Fund,0.9918,2008-10-22
Conservative Fund,0.9867,2008-10-23
Conservative Fund,0.9845,2008-10-24
Conservative Fund,0.9845,2008-10-25
Conservative Fund,0.9845,2008-10-26
Conservative Fund,0.9845,2008-10-27
Conservative Fund,0.986,2008-10-28
Conservative Fund,0.9879,2008-10-29
Conservative Fund,0.9942,2008-10-30
Conservative Fund,0.9953,2008-10-31
Conservative Fund,0.9953,2008-11-01
Conservative Fund,0.9953,2008-11-02
Conservative Fund,0.9988,2008-11-03
Conservative Fund,1.0024,2008-11-04
Conservative Fund,1.0031,2008-11-05
Conservative Fund,0.9965,2008-11-06
Conservative Fund,0.9954,2008-11-07
Conservative Fund,0.9954,2008-11-08
Conservative Fund,0.9954,2008-11-09
Conservative Fund,0.9993,2008-11-10
Conservative Fund,0.996,2008-11-11
Conservative Fund,0.9925,2008-11-12
Conservative Fund,0.994,2008-11-13
Conservative Fund,0.9955,2008-11-14
Conservative Fund,0.9955,2008-11-15
Conservative Fund,0.9955,2008-11-16
Conservative Fund,0.9927,2008-11-17
Conservative Fund,0.9907,2008-11-18
Conservative Fund,0.9877,2008-11-19
Conservative Fund,0.9822,2008-11-20
Conservative Fund,0.9868,2008-11-21
Conservative Fund,0.9868,2008-11-22
Conservative Fund,0.9868,2008-11-23
Conservative Fund,0.9927,2008-11-24
Conservative Fund,0.9958,2008-11-25
Conservative Fund,0.9977,2008-11-26
Conservative Fund,0.9977,2008-11-27
Conservative Fund,1.0078,2008-11-28
Conservative Fund,1.0078,2008-11-29
Conservative Fund,1.0078,2008-11-30
Conservative Fund,1.0044,2008-12-01
Conservative Fund,1.0033,2008-12-02
Conservative Fund,1.0078,2008-12-03
Conservative Fund,1.0108,2008-12-04
Conservative Fund,1.008,2008-12-05
Conservative Fund,1.008,2008-12-06
Conservative Fund,1.008,2008-12-07
Conservative Fund,1.0135,2008-12-08
Conservative Fund,1.0135,2008-12-09
Conservative Fund,1.0128,2008-12-10
Conservative Fund,1.0138,2008-12-11
Conservative Fund,1.0138,2008-12-12
Conservative Fund,1.0138,2008-12-13
Conservative Fund,1.0138,2008-12-14
Conservative Fund,1.0108,2008-12-15
Conservative Fund,1.0095,2008-12-16
Conservative Fund,1.0136,2008-12-17
Conservative Fund,1.0145,2008-12-18
Conservative Fund,1.0138,2008-12-19
Conservative Fund,1.0138,2008-12-20
Conservative Fund,1.0138,2008-12-21
Conservative Fund,1.0151,2008-12-22
Conservative Fund,1.0149,2008-12-23
Conservative Fund,1.015,2008-12-24
Conservative Fund,1.015,2008-12-25
Conservative Fund,1.015,2008-12-26
Conservative Fund,1.015,2008-12-27
Conservative Fund,1.015,2008-12-28
Conservative Fund,1.0161,2008-12-29
Conservative Fund,1.0202,2008-12-30
Conservative Fund,1.0233,2008-12-31
Conservative Fund,1.0233,2009-01-01
Conservative Fund,1.0233,2009-01-02
Conservative Fund,1.0233,2009-01-03
Conservative Fund,1.0233,2009-01-04
Conservative Fund,1.0271,2009-01-05
Conservative Fund,1.027,2009-01-06
Conservative Fund,1.026,2009-01-07
Conservative Fund,1.0225,2009-01-08
Conservative Fund,1.0233,2009-01-09
Conservative Fund,1.0233,2009-01-10
Conservative Fund,1.0233,2009-01-11
Conservative Fund,1.022,2009-01-12
Conservative Fund,1.0245,2009-01-13
Conservative Fund,1.0239,2009-01-14
Conservative Fund,1.0229,2009-01-15
Conservative Fund,1.0229,2009-01-16
Conservative Fund,1.0229,2009-01-17
Conservative Fund,1.0229,2009-01-18
Conservative Fund,1.0229,2009-01-19
Conservative Fund,1.0184,2009-01-20
Conservative Fund,1.0186,2009-01-21
Conservative Fund,1.0216,2009-01-22
Conservative Fund,1.0174,2009-01-23
Conservative Fund,1.0174,2009-01-24
Conservative Fund,1.0174,2009-01-25
Conservative Fund,1.0165,2009-01-26
Conservative Fund,1.0197,2009-01-27
Conservative Fund,1.0226,2009-01-28
Conservative Fund,1.0284,2009-01-29
Conservative Fund,1.0237,2009-01-30
Conservative Fund,1.0237,2009-01-31
Conservative Fund,1.0237,2009-02-01
Conservative Fund,1.0238,2009-02-02
Conservative Fund,1.0249,2009-02-03
Conservative Fund,1.0234,2009-02-04
Conservative Fund,1.0237,2009-02-05
Conservative Fund,1.0237,2009-02-06
Conservative Fund,1.0237,2009-02-07
Conservative Fund,1.0237,2009-02-08
Conservative Fund,1.0242,2009-02-09
Conservative Fund,1.0217,2009-02-10
Conservative Fund,1.0205,2009-02-11
Conservative Fund,1.0244,2009-02-12
Conservative Fund,1.0258,2009-02-13
Conservative Fund,1.0258,2009-02-14
Conservative Fund,1.0258,2009-02-15
Conservative Fund,1.0217,2009-02-16
Conservative Fund,1.019,2009-02-17
Conservative Fund,1.0181,2009-02-18
Conservative Fund,1.0182,2009-02-19
Conservative Fund,1.015,2009-02-20
Conservative Fund,1.015,2009-02-21
Conservative Fund,1.015,2009-02-22
Conservative Fund,1.0133,2009-02-23
Conservative Fund,1.0099,2009-02-24
Conservative Fund,1.0122,2009-02-25
Conservative Fund,1.0119,2009-02-26
Conservative Fund,1.0094,2009-02-27
Conservative Fund,1.0094,2009-02-28
Conservative Fund,1.0094,2009-03-01
Conservative Fund,1.0059,2009-03-02
Conservative Fund,1.004,2009-03-03
Conservative Fund,1.0016,2009-03-04
Conservative Fund,1.002,2009-03-05
Conservative Fund,1.0008,2009-03-06
Conservative Fund,1.0008,2009-03-07
Conservative Fund,1.0008,2009-03-08
Conservative Fund,1.0031,2009-03-09
Conservative Fund,1.0061,2009-03-10
Conservative Fund,1.0064,2009-03-11
Conservative Fund,1.0045,2009-03-12
Conservative Fund,1.0092,2009-03-13
Conservative Fund,1.0092,2009-03-14
Conservative Fund,1.0092,2009-03-15
Conservative Fund,1.0087,2009-03-16
Conservative Fund,1.011,2009-03-17
Conservative Fund,1.0135,2009-03-18
Conservative Fund,1.0173,2009-03-19
Conservative Fund,1.015,2009-03-20
Conservative Fund,1.015,2009-03-21
Conservative Fund,1.015,2009-03-22
Conservative Fund,1.0191,2009-03-23
Conservative Fund,1.0201,2009-03-24
Conservative Fund,1.0155,2009-03-25
Conservative Fund,1.0138,2009-03-26
Conservative Fund,1.0164,2009-03-27
Conservative Fund,1.0164,2009-03-28
Conservative Fund,1.0164,2009-03-29
Conservative Fund,1.0103,2009-03-30
Conservative Fund,1.0112,2009-03-31
Conservative Fund,1.0131,2009-04-01
Conservative Fund,1.0179,2009-04-02
Conservative Fund,1.0179,2009-04-03
Conservative Fund,1.0179,2009-04-04
Conservative Fund,1.0179,2009-04-05
Conservative Fund,1.0167,2009-04-06
Conservative Fund,1.0166,2009-04-07
Conservative Fund,1.0116,2009-04-08
Conservative Fund,1.0166,2009-04-09
Conservative Fund,1.0166,2009-04-10
Conservative Fund,1.0166,2009-04-11
Conservative Fund,1.0166,2009-04-12
Conservative Fund,1.0166,2009-04-13
Conservative Fund,1.0197,2009-04-14
Conservative Fund,1.0202,2009-04-15
Conservative Fund,1.024,2009-04-16
Conservative Fund,1.0271,2009-04-17
Conservative Fund,1.0271,2009-04-18
Conservative Fund,1.0271,2009-04-19
